year,season,noc,region,total_athlete,gold,totalmedals,silver,bronze,gold_m,silver_m,bronze_m,gold_f,silver_f,bronze_f
1984,Winter,URS,Russia,143,29,56,15,12,28,12,6,1,3,6
1984,Summer,FRA,France,354,20,67,16,31,20,16,24,0,0,7
1984,Summer,MTN,Mauritania,2,0,0,0,0,0,0,0,0,0,0
1984,Summer,SUI,Switzerland,245,0,13,9,4,0,7,3,0,2,1
1984,Summer,ALG,Algeria,33,0,2,0,2,0,0,2,0,0,0
1984,Summer,AUT,Austria,130,1,3,1,1,1,1,1,0,0,0
1984,Summer,BAR,Barbados,25,0,0,0,0,0,0,0,0,0,0
1984,Summer,LIB,Lebanon,30,0,0,0,0,0,0,0,0,0,0
1984,Winter,CYP,Cyprus,10,0,0,0,0,0,0,0,0,0,0
1984,Summer,TOG,Togo,6,0,0,0,0,0,0,0,0,0,0
1984,Summer,ZIM,Zimbabwe,20,0,0,0,0,0,0,0,0,0,0
1984,Summer,MAR,Morocco,35,2,2,0,0,1,0,0,1,0,0
1984,Winter,PUR,Puerto Rico,1,0,0,0,0,0,0,0,0,0,0
1988,Winter,GDR,Germany,253,14,46,22,10,10,15,4,4,7,6
1988,Summer,ESP,Spain,317,1,5,2,2,1,2,2,0,0,0
1988,Winter,PRK,North Korea,15,0,0,0,0,0,0,0,0,0,0
1988,Winter,POR,Portugal,8,0,0,0,0,0,0,0,0,0,0
1988,Summer,JAM,Jamaica,49,0,7,7,0,0,6,0,0,1,0
1988,Summer,NED,Netherlands,202,3,45,6,36,2,1,18,1,5,18
1988,Summer,PHI,Philippines,42,0,1,0,1,0,0,1,0,0,0
1988,Summer,MLT,Malta,6,0,0,0,0,0,0,0,0,0,0
1988,Summer,GDR,Germany,918,111,296,91,94,49,69,66,62,22,28
1988,Summer,MAR,Morocco,29,1,3,0,2,1,0,2,0,0,0
1988,Summer,ALG,Algeria,45,0,0,0,0,0,0,0,0,0,0
1988,Summer,BAR,Barbados,26,0,0,0,0,0,0,0,0,0,0
1988,Summer,IRQ,Iraq,28,0,0,0,0,0,0,0,0,0,0
1988,Summer,GHA,Ghana,21,0,0,0,0,0,0,0,0,0,0
1988,Summer,LES,Lesotho,6,0,0,0,0,0,0,0,0,0,0
1992,Summer,IRL,Ireland,77,1,2,1,0,1,1,0,0,0,0
1992,Summer,MON,Monaco,4,0,0,0,0,0,0,0,0,0,0
1992,Summer,RWA,Rwanda,10,0,0,0,0,0,0,0,0,0,0
1992,Winter,EST,Estonia,51,0,0,0,0,0,0,0,0,0,0
1992,Winter,KOR,South Korea,57,5,7,1,1,5,1,1,0,0,0
1992,Winter,BOL,Boliva,8,0,0,0,0,0,0,0,0,0,0
1992,Summer,CRO,Croatia,46,0,15,12,3,0,12,3,0,0,0
1992,Winter,PHI,Philippines,2,0,0,0,0,0,0,0,0,0,0
1992,Summer,TOG,Togo,9,0,0,0,0,0,0,0,0,0,0
1994,Winter,PUR,Puerto Rico,6,0,0,0,0,0,0,0,0,0,0
1994,Winter,FIJ,Fiji,1,0,0,0,0,0,0,0,0,0,0
1994,Winter,BUL,Bulgaria,38,0,0,0,0,0,0,0,0,0,0
1994,Winter,NOR,Norway,159,8,30,17,5,7,12,4,1,5,1
1996,Summer,PRK,North Korea,36,2,5,1,2,1,1,2,1,0,0
1996,Summer,ZIM,Zimbabwe,21,0,0,0,0,0,0,0,0,0,0
1996,Summer,AND,Andorra,8,0,0,0,0,0,0,0,0,0,0
1996,Summer,CRC,Costa Rica,13,1,1,0,0,0,0,0,1,0,0
1996,Summer,CHN,China,470,20,107,70,17,8,16,6,12,54,11
1996,Summer,TGA,Tonga,5,0,1,1,0,0,1,0,0,0,0
1996,Summer,GAB,Gabon,9,0,0,0,0,0,0,0,0,0,0
1996,Summer,GHA,Ghana,40,0,0,0,0,0,0,0,0,0,0
1996,Summer,NAM,Namibia,10,0,2,2,0,0,2,0,0,0,0
1996,Summer,CAM,Cambodia,5,0,0,0,0,0,0,0,0,0,0
1996,Summer,TUN,Tunisia,52,0,1,0,1,0,0,1,0,0,0
1996,Summer,CUB,Cuba,178,37,55,8,10,26,6,7,11,2,3
1996,Summer,ESA,El Salvador,10,0,0,0,0,0,0,0,0,0,0
1998,Winter,CHN,China,88,0,14,9,5,0,2,4,0,7,1
1998,Winter,NZL,New Zealand,9,0,0,0,0,0,0,0,0,0,0
2000,Summer,TKM,Turkmenistan,8,0,0,0,0,0,0,0,0,0,0
2000,Summer,ECU,Ecuador,11,0,0,0,0,0,0,0,0,0,0
2000,Summer,DMA,Dominica,4,0,0,0,0,0,0,0,0,0,0
2000,Summer,AUS,Australia,788,60,183,69,54,24,37,33,36,32,21
2000,Summer,CAN,Canada,422,4,31,4,23,4,1,3,0,3,20
2000,Summer,GAB,Gabon,6,0,0,0,0,0,0,0,0,0,0
2000,Summer,BEL,Belgium,94,0,7,3,4,0,3,0,0,0,4
