year,season,city,noc,region,sex,medal,count
1896,Summer,Athina,GBR,UK,M,Bronze,3
1896,Summer,Athina,USA,USA,M,NA,7
1896,Summer,Athina,AUS,Australia,M,Bronze,1
1896,Summer,Athina,SWE,Sweden,M,NA,5
1896,Summer,Athina,USA,USA,M,Silver,7
1896,Summer,Athina,GBR,UK,M,NA,16
1896,Summer,Athina,USA,USA,M,Gold,11
1896,Summer,Athina,HUN,Hungary,M,NA,12
1896,Summer,Athina,DEN,Denmark,M,Silver,2
1896,Summer,Athina,SUI,Switzerland,M,NA,5
1896,Summer,Athina,FRA,France,M,Gold,5
1896,Summer,Athina,GER,Germany,M,Bronze,2
1896,Summer,Athina,GER,Germany,M,Gold,25
1896,Summer,Athina,GRE,Greece,M,Gold,10
1896,Summer,Athina,GER,Germany,M,Silver,5
1896,Summer,Athina,HUN,Hungary,M,Silver,1
1896,Summer,Athina,USA,USA,M,Bronze,2
1896,Summer,Athina,FRA,France,M,NA,15
1896,Summer,Athina,HUN,Hungary,M,Bronze,3
1896,Summer,Athina,GBR,UK,M,Silver,3
1896,Summer,Athina,SUI,Switzerland,M,Gold,1
1896,Summer,Athina,AUT,Austria,M,NA,3
1896,Summer,Athina,DEN,Denmark,M,NA,9
1896,Summer,Athina,AUS,Australia,M,NA,2
1896,Summer,Athina,SUI,Switzerland,M,Silver,2
1896,Summer,Athina,FRA,France,M,Bronze,2
1896,Summer,Athina,HUN,Hungary,M,Gold,2
1896,Summer,Athina,AUT,Austria,M,Gold,2
1896,Summer,Athina,AUT,Austria,M,Bronze,2
1896,Summer,Athina,GRE,Greece,M,NA,100
1896,Summer,Athina,GBR,UK,M,Gold,3
1896,Summer,Athina,FRA,France,M,Silver,4
1896,Summer,Athina,GRE,Greece,M,Bronze,20
1896,Summer,Athina,ITA,Italy,M,NA,1
1896,Summer,Athina,GER,Germany,M,NA,62
1896,Summer,Athina,GRE,Greece,M,Silver,18
1896,Summer,Athina,AUS,Australia,M,Gold,2
1896,Summer,Athina,DEN,Denmark,M,Bronze,3
1896,Summer,Athina,AUT,Austria,M,Silver,1
1896,Summer,Athina,DEN,Denmark,M,Gold,1
1900,Summer,Paris,SUI,Switzerland,M,NA,30
1900,Summer,Paris,ROU,Romania,M,NA,1
1900,Summer,Paris,LUX,Luxembourg,M,Gold,1
1900,Summer,Paris,CAN,Canada,M,NA,5
1900,Summer,Paris,ITA,Italy,M,Gold,3
1900,Summer,Paris,DEN,Denmark,M,Silver,3
1900,Summer,Paris,NOR,Norway,M,Silver,6
1900,Summer,Paris,HUN,Hungary,M,Bronze,2
1900,Summer,Paris,DEN,Denmark,M,NA,27
1900,Summer,Paris,SUI,Switzerland,M,Silver,3
1900,Summer,Paris,GBR,UK,F,Gold,2
1900,Summer,Paris,USA,USA,F,NA,4
1900,Summer,Paris,BOH,Czech Republic,F,Bronze,2
1900,Summer,Paris,SWE,Sweden,M,Gold,3
1900,Summer,Paris,GER,Germany,M,Gold,14
1900,Summer,Paris,CUB,Cuba,M,Silver,1
1900,Summer,Paris,ESP,Spain,M,NA,10
1900,Summer,Paris,AUT,Austria,M,Bronze,3
1900,Summer,Paris,COL,Colombia,M,Silver,1
1900,Summer,Paris,ESP,Spain,M,Gold,2
1900,Summer,Paris,SUI,Switzerland,M,Bronze,1
1900,Summer,Paris,DEN,Denmark,M,Bronze,2
1900,Summer,Paris,SUI,Switzerland,F,NA,1
1900,Summer,Paris,IND,India,M,Silver,2
1900,Summer,Paris,ITA,Italy,M,NA,30
1900,Summer,Paris,NOR,Norway,M,Bronze,3
1900,Summer,Paris,SWE,Sweden,M,Bronze,1
1900,Summer,Paris,HUN,Hungary,M,Silver,2
1900,Summer,Paris,IND,India,M,NA,3
1900,Summer,Paris,NOR,Norway,M,NA,20
1900,Summer,Paris,NED,Netherlands,M,Gold,3
1900,Summer,Paris,USA,USA,M,Bronze,14
1900,Summer,Paris,GER,Germany,M,Bronze,11
1900,Summer,Paris,BEL,Belgium,M,Bronze,13
1900,Summer,Paris,NED,Netherlands,M,Silver,8
1900,Summer,Paris,FRA,France,F,NA,14
1900,Summer,Paris,GBR,UK,M,NA,38
1900,Summer,Paris,FRA,France,M,Bronze,82
1900,Summer,Paris,AUS,Australia,M,Bronze,3
1900,Summer,Paris,IRI,Iran,M,NA,1
1900,Summer,Paris,CAN,Canada,M,Gold,1
1900,Summer,Paris,CUB,Cuba,M,Gold,1
1900,Summer,Paris,AUT,Austria,M,Silver,3
1900,Summer,Paris,HUN,Hungary,M,NA,29
1900,Summer,Paris,NED,Netherlands,M,Bronze,16
1900,Summer,Paris,GBR,UK,M,Bronze,15
1900,Summer,Paris,GER,Germany,M,Silver,20
1900,Summer,Paris,PER,Peru,M,NA,2
1900,Summer,Paris,RUS,Russia,M,NA,5
1900,Summer,Paris,USA,USA,F,Silver,1
1900,Summer,Paris,MEX,Mexico,M,Bronze,3
1900,Summer,Paris,DEN,Denmark,M,Gold,4
1900,Summer,Paris,SWE,Sweden,M,NA,23
1900,Summer,Paris,GBR,UK,M,Gold,57
1900,Summer,Paris,FRA,France,M,Gold,52
1900,Summer,Paris,BEL,Belgium,M,Gold,6
1900,Summer,Paris,SUI,Switzerland,M,Gold,15
1900,Summer,Paris,BOH,Czech Republic,M,NA,6
1900,Summer,Paris,USA,USA,F,Bronze,3
1900,Summer,Paris,GRE,Greece,M,NA,4
1900,Summer,Paris,USA,USA,M,Silver,15
1900,Summer,Paris,BRA,Brazil,M,NA,3
1900,Summer,Paris,HUN,Hungary,M,Gold,1
1900,Summer,Paris,HAI,Haiti,M,NA,3
1900,Summer,Paris,BEL,Belgium,M,NA,57
1900,Summer,Paris,BOH,Czech Republic,M,Silver,1
1900,Summer,Paris,SUI,Switzerland,F,Gold,1
1900,Summer,Paris,USA,USA,M,Gold,29
1900,Summer,Paris,ITA,Italy,F,NA,1
1900,Summer,Paris,NZL,New Zealand,M,Gold,1
1900,Summer,Paris,NED,Netherlands,M,NA,46
1900,Summer,Paris,ARG,Argentina,M,NA,1
1900,Summer,Paris,FRA,France,M,NA,822
1900,Summer,Paris,AUT,Austria,M,NA,20
1900,Summer,Paris,ITA,Italy,M,Silver,2
1900,Summer,Paris,GBR,UK,M,Silver,34
1900,Summer,Paris,USA,USA,F,Gold,1
1900,Summer,Paris,CAN,Canada,M,Bronze,1
1900,Summer,Paris,AUS,Australia,M,Gold,3
1900,Summer,Paris,SUI,Switzerland,F,Silver,1
1900,Summer,Paris,USA,USA,M,NA,68
1900,Summer,Paris,HAI,Haiti,M,Gold,1
1900,Summer,Paris,GER,Germany,M,NA,58
1900,Summer,Paris,FRA,France,M,Silver,99
1900,Summer,Paris,BEL,Belgium,M,Silver,24
1900,Summer,Paris,FRA,France,F,Silver,2
1904,Summer,St. Louis,USA,USA,M,Silver,139
1904,Summer,St. Louis,ITA,Italy,M,NA,1
1904,Summer,St. Louis,USA,USA,M,Bronze,123
1904,Summer,St. Louis,GRE,Greece,M,Gold,1
1904,Summer,St. Louis,AUT,Austria,M,Silver,1
1904,Summer,St. Louis,HUN,Hungary,M,NA,5
1904,Summer,St. Louis,NOR,Norway,M,NA,4
1904,Summer,St. Louis,HUN,Hungary,M,Gold,2
1904,Summer,St. Louis,RSA,South Africa,M,NA,8
1904,Summer,St. Louis,USA,USA,F,Silver,2
1904,Summer,St. Louis,USA,USA,F,NA,6
1904,Summer,St. Louis,GRE,Greece,M,Bronze,1
1904,Summer,St. Louis,USA,USA,F,Bronze,2
1904,Summer,St. Louis,AUS,Australia,M,Silver,3
1904,Summer,St. Louis,CAN,Canada,M,Gold,27
1904,Summer,St. Louis,GBR,UK,M,NA,4
1904,Summer,St. Louis,CAN,Canada,M,Silver,9
1904,Summer,St. Louis,AUT,Austria,M,Gold,2
1904,Summer,St. Louis,HUN,Hungary,M,Bronze,1
1904,Summer,St. Louis,GER,Germany,M,Gold,4
1904,Summer,St. Louis,USA,USA,M,Gold,122
1904,Summer,St. Louis,FRA,France,M,Silver,2
1904,Summer,St. Louis,CUB,Cuba,M,NA,1
1904,Summer,St. Louis,AUS,Australia,M,Bronze,1
1904,Summer,St. Louis,AUT,Austria,M,Bronze,1
1904,Summer,St. Louis,SUI,Switzerland,M,Bronze,2
1904,Summer,St. Louis,USA,USA,M,NA,709
1904,Summer,St. Louis,CAN,Canada,M,Bronze,12
1904,Summer,St. Louis,AUT,Austria,M,NA,3
1904,Summer,St. Louis,HUN,Hungary,M,Silver,1
1904,Summer,St. Louis,GBR,UK,M,Silver,1
1904,Summer,St. Louis,CUB,Cuba,M,Gold,5
1904,Summer,St. Louis,SUI,Switzerland,M,NA,4
1904,Summer,St. Louis,GBR,UK,M,Gold,1
1904,Summer,St. Louis,NOR,Norway,M,Gold,2
1904,Summer,St. Louis,AUS,Australia,M,NA,2
1904,Summer,St. Louis,GER,Germany,M,NA,39
1904,Summer,St. Louis,CAN,Canada,M,NA,14
1904,Summer,St. Louis,GER,Germany,M,Bronze,7
1904,Summer,St. Louis,USA,USA,F,Gold,6
1904,Summer,St. Louis,SUI,Switzerland,M,Gold,1
1904,Summer,St. Louis,GRE,Greece,M,NA,15
1904,Summer,St. Louis,GER,Germany,M,Silver,5
1906,Summer,Athina,BOH,Czech Republic,M,Bronze,3
1906,Summer,Athina,AUT,Austria,M,Bronze,3
1906,Summer,Athina,GRE,Greece,M,NA,389
1906,Summer,Athina,NOR,Norway,M,NA,30
1906,Summer,Athina,GRE,Greece,M,Bronze,28
1906,Summer,Athina,SWE,Sweden,M,NA,74
1906,Summer,Athina,GER,Germany,M,NA,127
1906,Summer,Athina,NED,Netherlands,M,Bronze,5
1906,Summer,Athina,HUN,Hungary,M,Gold,5
1906,Summer,Athina,FRA,France,M,Gold,19
1906,Summer,Athina,FRA,France,F,NA,1
1906,Summer,Athina,NOR,Norway,M,Silver,5
1906,Summer,Athina,BOH,Czech Republic,M,NA,26
1906,Summer,Athina,DEN,Denmark,M,Gold,14
1906,Summer,Athina,EGY,Egypt,M,NA,5
1906,Summer,Athina,DEN,Denmark,M,Bronze,1
1906,Summer,Athina,CAN,Canada,M,Gold,1
1906,Summer,Athina,SWE,Sweden,M,Silver,5
1906,Summer,Athina,FRA,France,M,Silver,16
1906,Summer,Athina,FRA,France,F,Gold,1
1906,Summer,Athina,GBR,UK,M,Bronze,8
1906,Summer,Athina,GRE,Greece,F,NA,4
1906,Summer,Athina,GER,Germany,M,Bronze,6
1906,Summer,Athina,AUS,Australia,M,NA,7
1906,Summer,Athina,FIN,Finland,M,Silver,1
1906,Summer,Athina,GRE,Greece,F,Silver,2
1906,Summer,Athina,FIN,Finland,M,Gold,2
1906,Summer,Athina,AUT,Austria,M,NA,91
1906,Summer,Athina,SWE,Sweden,M,Gold,2
1906,Summer,Athina,FIN,Finland,M,NA,14
1906,Summer,Athina,USA,USA,M,Silver,6
1906,Summer,Athina,HUN,Hungary,M,Bronze,3
1906,Summer,Athina,GBR,UK,M,Gold,9
1906,Summer,Athina,GBR,UK,M,Silver,22
1906,Summer,Athina,NOR,Norway,M,Gold,20
1906,Summer,Athina,BEL,Belgium,M,NA,20
1906,Summer,Athina,TUR,Turkey,M,NA,2
1906,Summer,Athina,GRE,Greece,F,Gold,1
1906,Summer,Athina,DEN,Denmark,M,Silver,19
1906,Summer,Athina,FIN,Finland,M,Bronze,1
1906,Summer,Athina,USA,USA,M,Gold,12
1906,Summer,Athina,GRE,Greece,F,Bronze,2
1906,Summer,Athina,GER,Germany,M,Silver,10
1906,Summer,Athina,GRE,Greece,M,Gold,23
1906,Summer,Athina,GRE,Greece,M,Silver,46
1906,Summer,Athina,ITA,Italy,M,Bronze,27
1906,Summer,Athina,GER,Germany,M,Gold,14
1906,Summer,Athina,SUI,Switzerland,M,Silver,3
1906,Summer,Athina,USA,USA,M,NA,57
1906,Summer,Athina,GBR,UK,M,NA,74
1906,Summer,Athina,ITA,Italy,M,NA,47
1906,Summer,Athina,SUI,Switzerland,M,Gold,8
1906,Summer,Athina,NED,Netherlands,M,NA,43
1906,Summer,Athina,SUI,Switzerland,M,NA,33
1906,Summer,Athina,BEL,Belgium,M,Gold,2
1906,Summer,Athina,CAN,Canada,M,NA,2
1906,Summer,Athina,AUS,Australia,M,Bronze,3
1906,Summer,Athina,BEL,Belgium,M,Silver,3
1906,Summer,Athina,HUN,Hungary,M,NA,86
1906,Summer,Athina,DEN,Denmark,M,NA,34
1906,Summer,Athina,SUI,Switzerland,M,Bronze,1
1906,Summer,Athina,USA,USA,M,Bronze,6
1906,Summer,Athina,BEL,Belgium,M,Bronze,6
1906,Summer,Athina,NED,Netherlands,M,Silver,1
1906,Summer,Athina,SWE,Sweden,M,Bronze,14
1906,Summer,Athina,FRA,France,M,Bronze,28
1906,Summer,Athina,CAN,Canada,M,Silver,1
1906,Summer,Athina,HUN,Hungary,M,Silver,5
1906,Summer,Athina,AUT,Austria,M,Silver,3
1906,Summer,Athina,AUT,Austria,M,Gold,3
1906,Summer,Athina,ITA,Italy,M,Silver,8
1906,Summer,Athina,ITA,Italy,M,Gold,21
1906,Summer,Athina,FRA,France,M,NA,109
1908,Summer,London,GBR,UK,F,Gold,5
1908,Summer,London,FIN,Finland,M,Gold,1
1908,Summer,London,SWE,Sweden,M,Gold,48
1908,Summer,London,NOR,Norway,M,Gold,7
1908,Summer,London,FIN,Finland,M,Bronze,28
1908,Summer,London,BEL,Belgium,M,Bronze,8
1908,Summer,London,FRA,France,M,NA,279
1908,Summer,London,GER,Germany,M,Gold,3
1908,Summer,London,CAN,Canada,M,NA,96
1908,Summer,London,NOR,Norway,M,Bronze,3
1908,Summer,London,ANZ,Australia,M,Silver,2
1908,Summer,London,HUN,Hungary,M,Silver,7
1908,Summer,London,ITA,Italy,M,NA,89
1908,Summer,London,GRE,Greece,M,Bronze,1
