country_code,Medal Type - 0,Medal Type - 1,Medal Type - 2,Medal Type - 3
AFG,124,0,0,2
AHO,78,0,1,0
ALB,70,0,0,0
ALG,534,5,4,8
AND,169,0,0,0
ANG,267,0,0,0
ANT,133,0,0,0
ANZ,57,20,4,5
ARG,3023,91,92,91
ARM,205,2,5,9
ARU,42,0,0,0
ASA,37,0,0,0
AUS,6318,348,455,517
AUT,4691,108,186,156
AZE,239,7,12,25
BAH,334,14,11,15
BAN,55,0,0,0
BAR,218,0,0,1
BDI,37,1,1,0
BEL,3389,98,197,173
BEN,71,0,0,0
BER,211,0,0,1
BHU,36,0,0,0
BIH,134,0,0,0
BIZ,76,0,0,0
BLR,1648,24,44,71
BOH,141,0,1,11
BOL,152,0,0,0
BOT,89,0,1,0
BRA,3373,109,175,191
BRN,123,1,1,1
BRU,10,0,0,0
BUL,3188,54,144,144
BUR,44,0,0,0
CAF,67,0,0,0
CAM,63,0,0,0
CAN,8381,463,438,451
CAY,83,0,0,0
CGO,105,0,0,0
CHA,41,0,0,0
CHI,893,3,9,20
CHN,4152,350,347,292
CIV,190,1,1,1
CMR,290,20,1,1
COD,93,0,0,0
COK,40,0,0,0
COL,1041,5,9,14
COM,19,0,0,0
CPV,18,0,0,0
CRC,260,1,1,2
CRO,727,58,54,37
CRT,11,0,0,0
CUB,2070,164,129,116
CYP,224,0,1,0
CZE,1730,42,36,66
DEN,2973,179,241,177
DJI,37,0,0,1
DMA,19,0,0,0
DOM,270,3,2,2
ECU,275,1,1,0
EGY,1595,7,8,12
ERI,42,0,0,1
ESA,218,0,0,0
ESP,4824,108,243,136
EST,826,13,12,25
ETH,325,22,9,22
EUN,585,127,71,81
FIJ,219,13,0,0
FIN,4567,198,266,432
FRA,10970,496,605,660
FRG,2729,159,194,233
FSM,26,0,0,0
GAB,62,0,1,0
GAM,56,0,0,0
GBR,10169,657,726,646
GBS,21,0,0,0
GDR,1640,397,327,281
GEO,254,8,6,18
GEQ,40,0,0,0
GER,7665,745,674,746
GHA,336,0,1,22
GRE,2926,62,109,84
GRN,52,1,1,0
GUA,424,0,1,0
GUI,73,0,0,0
GUM,112,0,0,0
GUY,101,0,0,1
HAI,99,1,1,5
HKG,681,1,2,1
HON,189,0,0,0
HUN,5472,432,332,371
INA,371,11,17,13
IND,1211,138,19,40
IOA,89,1,1,3
IRI,721,18,21,29
IRL,1290,9,13,13
IRQ,231,0,0,1
ISL,610,0,15,2
ISR,656,1,1,7
ISV,293,0,1,0
ITA,9074,575,531,531
IVB,45,0,0,0
JAM,691,38,75,44
JOR,79,1,0,0
JPN,7531,247,309,357
KAZ,1352,20,25,32
KEN,666,34,41,31
KGZ,224,0,1,2
KIR,11,0,0,0
KOR,3826,221,232,185
KOS,7,1,0,0
KSA,224,0,1,5
KUW,282,0,0,2
LAO,54,0,0,0
LAT,916,3,19,13
LBA,84,0,0,0
LBR,74,0,0,0
LCA,28,0,0,0
LES,66,0,0,0
LIB,325,0,2,2
LIE,360,2,2,5
LTU,593,6,7,48
LUX,988,4,4,0
MAD,119,0,0,0
MAL,45,0,0,0
MAR,659,6,5,12
MAS,514,0,11,5
MAW,87,0,0,0
MDA,226,0,3,5
MDV,49,0,0,0
MEX,2770,30,26,54
MGL,524,2,10,14
MHL,14,0,0,0
MKD,83,0,0,1
MLI,92,0,0,0
MLT,118,0,0,0
MNE,80,0,14,0
MON,196,0,0,1
MOZ,76,1,0,1
MRI,143,0,0,1
MTN,29,0,0,0
MYA,111,0,0,0
NAM,73,0,4,0
NBO,2,0,0,0
NCA,129,0,0,0
NED,4799,287,340,413
NEP,93,1,0,0
NFL,1,0,0,0
NGR,783,23,30,46
NIG,45,0,1,1
NOR,3927,378,361,294
NRU,13,0,0,0
NZL,2114,90,56,82
OMA,66,0,0,0
PAK,441,42,45,34
PAN,136,1,0,2
PAR,118,0,17,0
PER,517,1,14,0
PHI,684,0,3,7
PLE,21,0,0,0
PLW,25,0,0,0
PNG,108,0,0,0
POL,5638,117,195,253
POR,1481,4,11,26
PRK,740,16,16,35
PUR,918,1,2,6
QAT,187,0,1,4
RHO,12,0,0,0
ROT,12,0,0,0
ROU,3752,161,200,292
RSA,1580,32,47,52
RUS,3978,390,367,408
RWA,56,0,0,0
SAA,93,0,0,0
SAM,63,0,0,0
SCG,257,12,26,26
SEN,392,0,1,0
SEY,111,0,0,0
SGP,340,1,4,4
SKN,42,0,0,0
SLE,114,0,0,0
SLO,1063,8,13,27
SMR,181,0,0,0
SOL,27,0,0,0
SOM,32,0,0,0
SRB,307,15,29,41
SRI,144,0,2,0
SSD,3,0,0,0
STP,15,0,0,0
SUD,106,0,1,0
SUI,5459,170,248,268
SUR,67,1,0,1
SVK,1008,15,19,13
SWE,6803,479,522,535
SWZ,67,0,0,0
SYR,153,1,1,1
TAN,159,0,2,0
TCH,3912,81,225,182
TGA,45,0,1,0
THA,717,9,8,13
TJK,66,1,1,2
TKM,54,0,0,0
TLS,9,0,0,0
TOG,58,0,0,1
TPE,1048,3,28,18
TTO,343,7,8,17
TUN,548,3,3,7
TUR,1261,40,27,28
TUV,7,0,0,0
UAE,142,1,0,1
UAR,121,0,1,1
UGA,253,2,3,2
UKR,2360,47,52,100
UNK,2,0,0,0
URS,3182,1082,732,689
URU,513,31,2,30
